Question ID,Fold,Answer,Category,Text
984543622,test,truckers,Other:Other_Academic_and_General_Knowledge,"1. Since the 1920s, Pakistanis in this job have often paid artists to create distinctive ""jingle"" designs. ""Doublestuffs"" in this profession own their own equipment and must abide by the ""14-hour rule"" enforced by eLogs. The 1980 MCA deregulated this job, hurting a union now led by Sean O'Brien. A 1970s novelty song by C. W. McCall romanticizing this job led to a surge in (*) CB radio sales. Since 9/11, Americans with this job need a background check to get an ""H"" clearance on their CDL to work with hazardous materials. A chain of businesses catering to people in this job that offers CAT Scales and showers is called Pilot Flying J. For 10 points, name this job of people who might take an 18-Wheeler on a long-haul freight drive. ANSWER: truckers [or truck drivers; or lorry drivers; or truckie; or delivery truck drivers; or teamsters; prompt on drivers; reject ""bus driver""] <Michael Bentley, Other - Other Academic and General Knowledge> ~29701~ <Editor: Michael Bentley>"
221022625,test,infections (The lead-in described the SEIR model.),Science:Biology,"2. These events increase, but do not accelerate the increase in, an intermediate ""E"" state in a compartmental model named for four states. Kermack and McKendrick introduced an ODE model in which the rate of these events equals a difference involving the coefficients beta-over-population size and gamma. These events act on ""susceptible"" individuals, who can later become (*) ""removed"" or ""recovered."" The expected number of these events following a single one of them is the basic reproductive number, R-nought. These events increase the number of individuals in the ""I"" state of the SIR model, and they occur over large ranges in a pandemic. For 10 points, name these events in which a pathogen spreads to new patients. ANSWER: infections [accept disease transmissions or contagions; prompt on I; prompt on epidemics or disease outbreaks; prompt on pandemics until read] (The lead-in described the SEIR model.) <David Bass, Science - Biology> ~30598~ <Editor: David Bass>"
456646061,test,Battle of San Juan Hill,History:American,"3. The poor performance of the Krag-Jørgensen at this battle led to its replacement by a rifle modeled on the losing side's rapid-firing Mausers. ""Gatling Gun"" Parker earned his nickname for supporting the Buffalo Soldiers and ""Wood's Weary Walkers"" at this battle, where they captured a feature named for its many sugar pots. Santiago was besieged following this battle and the surrender of El Caney. A former Assistant Secretary of the (*) Navy was posthumously awarded the Medal of Honor for his leadership at this 1898 battle, making him the only president to have received it. For 10 points, name this battle of the Spanish-American War where Teddy Roosevelt's Rough Riders ""charged up"" a set of Cuban heights. ANSWER: Battle of San Juan Hill [or Battle for the San Juan Heights; prompt on Battle of San Juan; prompt on Battle of Kettle Hill] <Cooper Roh and Lalit Maharjan, History - American - 1865-1945> ~29761~ <Editor: Noah Sheidlower>"
1294143664,test,murders,Literature:American,"4. One of these events inspired a story ending with the line ""knot it"" in which Mrs. Hale and Mrs. Peters find a bird in a sewing basket. In Emma Cline's The Girls, Evie narrowly avoids taking part in one of these events; Joan Didion recounted buying a dress for a participant in that event in The White Album. A quote from Elise Pachen's poem ""Wi'-gi-e"" (""weh-gee-uh"") titles a 2017 David Grann book about these events. A (*) ""non-fiction novel"" about one of these events and its aftermath centers on Dick Hickock and Perry Smith. Harper Lee researched the Clutter family to aid with Truman Capote's In Cold Blood, a book about one of these events. For 10 points, Helter Skelter documents what type of crime done by the Manson Family? ANSWER: murders [or murder case; or murder trial; accept synonyms such as homicide or killing; accept the Clutter family murders; accept the Manson murders; accept Killers of the Flower Moon; prompt on crimes until read; prompt on trial by asking ""what event caused that trial?""; prompt on helter skelter until read] (The story in the first line is Susan Glaspell's ""A Jury of Her Peers."" The David Grann book is Killers of the Flower Moon.) <Sean Farrell, Literature - American - Nonfiction> ~29691~ <Editor: Jaimie Carlson>"
2922959929,test,tuning,Fine_Arts:Music,"5. Giovanni Benedetti showed that Gioseffo Zarlino's method for performing this task was susceptible to ""pumping."" A ""beta"" object is produced by Wendy Carlos's method for performing this task, which is very similar to 19-TET. Commas that arise when performing this task often lead to an undesirable ""wolf"" effect. The term ""scordatura"" refers to alternate methods for performing this task. A 3-to-2 ratio is used in both the (*) ""just"" and ""Pythagorean"" methods for performing this task. The title of Bach's Well-Tempered Clavier refers to a system for performing this task, which in modern orchestras is done when the principal oboist plays an A. For 10 points, name this task that involves adjusting an instrument's pitches. ANSWER: tuning [or word forms such as tune; accept Pythagorean tuning or just intonation; accept equal temperament or 19-tone equal temperament or well temperament until ""Well-Tempered"" is read] <Steven Yuan, Fine Arts - Music - Miscellaneous> ~30252~ <Editor: Forrest Weintraub>"
273726607,test,"John Keats (The unnamed poem in the third line is Keats' ""Ode to a Nightingale."")",Literature:British,"6. A poem by this author abruptly ends with the word ""Celestial"" after the title character stares into Mnemosyne's (""neh-MO-see-nee's"") eyes. A poem asks where Urania was when this poet died and commands this poet's mourners to go to Rome. The speaker of a poem by this author is ""Not charioted by Bacchus and his pards / But on the viewless wings of Poesy"" and notes ""tender is the night."" A work by this poet about Cynthia's love for the title shepherd prince begins (*) ""A thing of beauty is a joy forever."" This author of Endymion (""en-DIM-ee-on"") and Hyperion asks ""What men or gods are these?"" in a poem to an ""Attic shape"" that ends ""Beauty is truth, truth beauty."" For 10 points, name this subject of Percy Shelley's Adonais who wrote ""Ode on a Grecian Urn."" ANSWER: John Keats (The unnamed poem in the third line is Keats' ""Ode to a Nightingale."") <Kevin Wang, Literature - British - Poetry> ~29707~ <Editor: Jaimie Carlson>"
4222994341,test,methane,Science:Other_Science,"7. Water and this molecule are the typical components of structures indicated by bottom-simulating reflectors at the base of a ""stability zone."" Organisms that consume this molecule via AOM may reside in a transition zone of sulfate and this compound. Microbial production of this molecule may have promoted the P–T extinction event. A ""gun hypothesis"" describes this molecule's release from underwater (*) clathrates. This is the most impactful molecule released from the ""active layer"" in a seasonal positive feedback loop that accelerates its release from melting permafrost. This common greenhouse gas is 30 times more potent than CO2. For 10 points, name this primary component of natural gas, a hydrocarbon with formula CH4. ANSWER: methane [accept CH4 until read] <Rohan Kher, Science - Other Science> ~29941~ <Editor: David Bass>"
3849429935,test,maps,"History:Cross,_Historiography,_and_Miscellaneous","8. The Kangxi Emperor sponsored a 10-year project to create these objects sometimes named for the Jesuits. In the 16th century, Diego Ribero contributed to a secret Spanish collection of these objects called the Padrón Real. High-quality British examples of these objects were made by the Board of Ordnance. The historically suspect Soderini Letter inspired a maker of one of these objects named (*) Martin Waldseemüller (""VALD-see-moo-ler"") to name a part of one for a Florentine navigator. Muhammad al-Idrisi created one of these objects for Roger II of Sicily that was more accurate than one described in the magnum opus of Ptolemy. For 10 points, name these objects often made using a projection developed by Gerardus Mercator. ANSWER: maps [accept map of China or map of Britain or map of England or world map or map of the new world or map of Europe or map of Eurasia; accept globe; prompt on atlas or projection or guides or geological surveys or geographic surveys or navigational charts] <Michael Bentley, History - Cross, Historiography, and Miscellaneous> ~30128~ <Editor: Michael Bentley>"
1260336087,test,Caspar David Friedrich (The first clue refers to Moonrise by the Sea.),Fine_Arts:Painting,"9. This artist depicted two women sitting side-by-side and a man sitting a few feet away watching the moon rise in a painting paired with The Lonely Tree. A painting by this artist inspired a scene of crashed Luftwaffe planes by Paul Nash. This artist depicted his wife Caroline staring out a window at a ship’s mast on the Elbe River. This artist, whose lifelong trauma over his brother’s drowning inspired an (*) arctic landscape, included a monk staring at the ocean as one of his trademark rückenfiguren (""ROOK-in-fee-GOOR-in""). An 1818 painting by this artist depicts a man with a walking stick standing with his back to the viewer atop a rocky precipice. For 10 points, name this Romantic artist of Wanderer Above the Sea of Fog. ANSWER: Caspar David Friedrich (The first clue refers to Moonrise by the Sea.) <Forrest Weintraub, Fine Arts - Painting - European 1600-1945> ~30034~ <Editor: Ganon Evans>"
2382755559,test,dogs,RMP:Greco,"10. For throwing a rock at one of these animals, Oeonus (""oi-oh-NUS"") was killed by Hippocoön's (""hip-aw-KO-own’s"") sons. In a Senecan tragedy, Juno complains that the protagonist parades one of these animals, which can hear ghosts, through Argive cities. A person who was turned into one of these animals had a son Troïlus (""troh-EE-lus"") with Apollo. After stabbing the eyes of the murderer of her son Polydorus, that woman, Hecuba, became one of these animals. After Amphitryon (""am-PHIH-tree-on"") pitted one of these animals destined (*) never to miss his prey against the uncatchable Teumessian fox, they were both turned to stone. While rescuing Eurydice, Orpheus bypassed one of these animals with music. For 10 points, a three-headed kind of what animal named Cerberus guards the underworld? ANSWER: dogs [accept hellhounds; accept canis; accept kuon; reject ""wolf"" or ""coyote""] <Abhinav Rachakonda, RMP - Greco-Roman Mythology> ~29527~ <Editor: Sinecio Morales>"
