Question ID,Fold,Answer,Category,Text
2783999379,test,Rio de Janeiro (The first line refers to the Rio Pact.),History:World,"1. In 1947, the U.S. signed a non-NATO treaty in this city that maintained ""hemispheric defense"" and considered an attack against one as an attack against all. In this city, the Revolt of the Lash was a naval mutiny against corporal punishment. Veterans of the War of Canudos built a lower-income hilltop community in this city. Over one million slaves passed through this city's (*) Valongo (""vah-LOHN-goo"") Wharf. The large slum of Rocinha was built on a hill in this city. John VI of Portugal was forced to move his court to this city during the Peninsular War. In 1888, a ""Golden Law"" signed in this city by a regent to Pedro II abolished slavery. For 10 points, Brasilia replaced what port city as the capital of Brazil? ANSWER: Rio de Janeiro (The first line refers to the Rio Pact.) <Geoffrey Wu, History - World - Latin American> ~30573~ <Editor: Noah Sheidlower>"
2353421911,test,helium,Science:Chemistry,"2. Sniffer probes detect this substance, the most common tracer of leaks in pressurized tanks. Gas chromatography capillary columns still mainly use this substance as a carrier despite the availability of cheaper replacements. Uranium deposits coincide with natural sources of this substance, which is detected spectroscopically by its yellow D3 emission line. NMR magnets are cooled by vaporizing this substance at the lowest (*) boiling point of any chemical. Since this substance is a byproduct of natural gas extraction, the war in Ukraine has contributed to its fourth recent global shortage. In a common demonstration, inhaling this element raises the pitch of one's voice. For 10 points, name this lightest noble gas. ANSWER: helium [or He; accept helium gas] <Adam Silverman, Science - Chemistry> ~25689~ <Editor: June Yin>"
4057194607,test,vowels,Social_Science:Linguistics,"3. The target-undershoot hypothesis argues that physical constraints cause variation among these features. One gradation among these features is described as ablaut (""AH-blout""). William Labov identified an ongoing change among these features occurring in ""northern cities."" Daniel Jones introduced a trapezoidal representation of these features. These features have lower third formants when (*) rhotacized. The Western US displays a ""merger"" among two low-back examples of these features. Some English dialects display an ""intrusive r"" between these features, which may form diphthongs when pronounced consecutively. For 10 points, name these sounds, usually the nuclei of syllables, that are produced with an open vocal tract. ANSWER: vowels [prompt on sounds until read; prompt on phones; prompt on languages] <Joseph Chambers, Social Science - Linguistics> ~30590~ <Editor: Joseph Chambers>"
64487738,test,the Annunciation,Fine_Arts:Painting,"4. A peacock appears on a balcony in a version of this scene with a UFO-like cloud by Carlo Crivelli. A figure in this scene holds a white lily representing Florence in the earliest known commissioned painting for Leonardo da Vinci. This scene is set in a cloister and broken up by Roman-style columns in a fresco for the San Marco Monastery by (*) Fra Angelico. This scene is flanked by two panels - one of donors at a door and the other of Joseph in his workshop - in Robert Campin's Mérode Altarpiece. This scene typically depicts an angel with rainbow-colored wings bowing towards a woman with a beam of light shining on her head or stomach. For 10 points, name this biblical scene of Gabriel speaking to Mary. ANSWER: the Annunciation [or L'Annunzo or L'Annunciazione] <Ganon Evans, Fine Arts - Painting - European to 1600> ~30595~ <Editor: Ganon Evans>"
3322690213,test,Marjane Satrapi,Literature:World_and_Miscellaneous,"5. This character depicts a fallen soldier surrounded by tulips in a Pieta-inspired painting she submits for her art school application. After missing a train to Graz, this character discovers that Markus is cheating on her on her eighteenth birthday. This character is told an exam will be on a Montesquieu essay about slavery by (*) God, who she talks to as a child and compares to Karl Marx. This character notes that ""freedom has a price"" after her grandmother's death, as she only saw her once after emigrating following her divorce from Reza. As a child, this character visits Uncle Anoosh in prison, who gives her swans made of bread before his execution. For 10 points, name this protagonist and author of Persepolis. ANSWER: Marjane Satrapi [or Marjane Satrapi; or Marji] <Jamie Burchett, Literature - World and Miscellaneous> ~30757~ <Editor: Jim Fan>"
3373174130,test,mints,"History:Cross,_Historiography,_and_Miscellaneous","6. In Britain, these institutions send samples to the Trial of the Pyx and included a Soho one founded by James Watt's business partner Matthew Boulton. The first Chinese versions of these institutions made objects that replaced earlier ""knife"" and ""spade"" objects. The first federal building erected under the Constitution was one of these institutions in Philadelphia headed by astronomer David Rittenhouse that was an early adopter of (*) decimalization. Raw material from Cerro Rico was brought to a prominent one of these institutions in Potosi. Medieval examples of these institutions produced the ducat. Electrum was used in the first-ever of these institutions in Lydia. For 10 points, name these institutions that make coins. ANSWER: mints [accept coin factories until ""coins"" is read; prompt on treasuries or banks or coin factories] <Michael Bentley, History - Cross, Historiography, and Miscellaneous> ~30585~ <Editor: Michael Bentley>"
3328496158,test,Spain,Fine_Arts:Ballet/Dance,"7. Alexander Gorsky's 1900 revival of a ballet set in this country added a variation in which a fan is repeatedly snapped open and shut by Kitri. A trilled low E leads to a highly ornamented oboe solo in a ballet scene from this country in which Candela tries to banish the ghost of her husband. A novel from this country inspired the first collaboration between Ludwig Minkus and Marius Petipa. The ""Song of the Will-o'-the-Wisp"" and (*) ""Ritual Fire Dance"" appear in a ballet from this country. A composer from this country depicted the romance between a miller's wife and a magistrate in The Three-Cornered Hat, which includes a jota (""HO-ta"") and a fandango. For 10 points, name this home country of Manuel de Falla and of flamenco. ANSWER: Spain [or España] <Forrest Weintraub, Fine Arts - Ballet/Dance> ~30604~ <Editor: Ganon Evans>"
1456123855,test,Mimir's head,RMP:World_Mythology,"8. A character who acquires this object in the Ynglinga (""ING-ling-kah"") Saga ""smeared it in herbs"" then ""sang incantations over it."" It doesn't belong to Heimdall, but the Prose Edda notes how this object is enhanced by using Gjallarhorn (""GYAH-lur-horn""). This object is sent away due to the Hoenir's behavior in front of the Thing. After constantly being told ""let others decide,"" the Vanir return this object to the Aesir feeling that they were cheated. This object was kept under one of (*) Yggdrasil's (""IG-druh-sil's"") roots at a location it belonged to and named. The Heimskringla (""HAMES-kring-lah"") states that Odin carried this object with him as it could tell ""him all the news of other countries."" For 10 points, identify this disembodied object belonging to the owner of a wisdom-granting well. ANSWER: Mimir's head [accept any answer clearly indicating the decapitated head of Mimir; prompt on a head; prompt on Mimir] <Lalit Maharjan, RMP - World Mythology> ~29595~ <Editor: Sinecio Morales>"
2101768751,test,elementary charge,Science:Physics,"9. Measurements of this value use the correction factor ""one over one plus b over P a"" where b is a constant with units of pascals times meters. In a commencement address, Richard Feynman criticized consistent underestimation of this value as ""cargo cult science."" The square of this value is used to define the von Klitzing constant, which describes the quantum Hall effect. An experiment co-designed by Harvey (*) Fletcher measured this value by observing the positions at which irradiated masses rested between two plates after falling from an atomizer. This value was measured to be on the order of 10-to-the-negative-19 coulombs by the Millikan oil drop experiment. For 10 points, give the name of the charge of a proton. ANSWER: elementary charge [accept just ""elementary"" after ""charge"" is read; prompt on answers describing the charge of an electron or the charge of a proton; prompt on charge until read; prompt on e or +1 e or -1 e; prompt on Faraday constant before “coulombs” is read by asking “what is the value for a single particle?”] <Lalit Maharjan, Science - Physics> ~30803~ <Editor: David Bass>"
1593943123,test,Ireland,Literature:British,"10. A policeman and fugitive in this modern-day country sit back-to-back on a barrel in a one-act play. That play’s author criticized an event in this country as ""the old battle, between those who use a toothbrush and those who don't."" In a play from this country, a man says ""a daring fellow is the jewel of the world"" while blessing a character who wins a mule race, impressing women like the (*) Widow Quin, and is saved from hanging at the last minute. Lady Gregory co-founded a theater in this modern-day country, where the word ""shifts"" sparked a riot at a play in which Christy Mahon brags about killing his father, The Playboy of the Western World. For 10 points, the Abbey Theater hosted John Millington Synge (""sing"") and Sean O’Casey in what country? ANSWER: Ireland [or Eire or Republic of Ireland; reject ""Northern Ireland"" or ""United Kingdom""] (The first two lines are about Lady Gregory, who criticized the Abbey Theater riots. The one-act play is The Rising of the Moon.) <Jamie Burchett, Literature - British - Drama> ~29796~ <Editor: Jaimie Carlson>"
